"method","tvec","lwr","upr"
"BD2",56,2.39953058630363,385.568206113342
"BD2",57,2.38685349518801,424.097516002836
"BD2",58,2.3623313556078,461.891439023531
"BD2",59,2.32150681452583,497.965512543038
"BD2",60,2.2616406251417,531.781312503339
"BD2",61,2.18426974665266,563.058516949481
"BD2",62,2.09218301990711,591.543618530009
"BD2",63,1.98892368718344,616.906066805909
"BD2",64,1.87947689160216,638.706645051734
"BD2",65,1.76753852293927,656.469234545155
"BD2",66,1.65637749742769,669.794449415101
"BD2",67,1.54845186462398,678.363187767902
"BD2",68,1.44534768306937,681.998301083787
"BD2",69,1.34766110479961,680.65579022148
"BD2",70,1.25632699734092,674.449679091901
"BD2",71,1.17112927693284,684.249919418865
"BD2",72,1.091513391452,694.573935273252
"BD2",73,1.01724190850251,700.152630277669
"BD2",74,0.948003507321744,700.97623078071
"BD2",75,0.883463745586142,697.15093199075
"BD2",76,0.823298814429848,698.407920964176
"BD2",77,0.767213100293077,697.225469056067
"BD2",78,0.714935867899101,691.332004355448
"BD2",79,0.666207986717325,680.910879681293
"BD2",80,0.620500263866063,666.243079261659
"BD2",81,0.578300547374397,647.705343248491
"BD2",82,0.538970773716585,625.734141858398
"BD2",83,0.50232596672106,602.076517031353
"BD2",84,0.468344708552252,602.717034130987
"BD2",85,0.436574997522541,606.623819453692
"BD2",86,0.406945888128689,607.377554046141
"BD2",87,0.379167412526158,604.977121710157
"BD2",88,0.353530120334142,599.469295994564
"BD2",89,0.329635627297307,590.966850997682
"BD2",90,0.307362995998232,579.62638529769
"BD2",91,0.28661519339488,565.672502675212
"BD2",92,0.267285356716798,549.339886051302
"BD2",93,0.249274957046851,530.969580576119
"BD2",94,0.232492428067985,510.8322294308
"BD2",95,0.216852678537577,489.221881781152
"BD2",96,0.202276612959849,466.489145922987
"BD2",97,0.188690725763081,454.225091898306
"BD2",98,0.176029067767843,442.431240161819
"BD2",99,0.164570020288295,429.88566264791
"BD2",100,0.154410145240831,422.836670239504
"BD2",101,0.145229993682278,414.803008421205
"BD2",102,0.138492106270292,405.999702044524
"BD2",103,0.133077242670595,396.511549937418
"BD2",104,0.129265682960124,386.26977702325
"BD2",105,0.12694340326027,383.148192545334
"BD2",106,0.125441698078873,381.553618739117
"BD2",107,0.124564504209047,379.061259882936
"BD2",108,0.124018842302235,375.685273529593
"BD2",109,0.124005846528235,371.088436528476
"BD2",110,0.124036163704943,365.72377915209
"BD2",111,0.124082516503677,359.106655223855
"BD2",112,0.124130700194996,351.520292235811
"BD2",113,0.124173813590687,343.016882950281
"BD2",114,0.124208689225782,339.227244719004
"BD2",115,0.124233857897366,339.081426238861
"BD2",116,0.124248503165802,337.920064931182
"BD2",117,0.124252006140353,335.788082929595
"BD2",118,0.124249905141539,332.732372800621
"BD2",119,0.124240416866826,332.695816796882
"BD2",120,0.124219688632081,333.772795957997
"BD2",121,0.124186696694949,334.059613451502
"BD2",122,0.124140846659543,333.557937769883
"BD2",123,0.124081794089193,332.274625798419
"BD2",124,0.124009409262271,330.225933756543
"BD2",125,0.123923771077614,327.433128089497
"BD2",126,0.1238251535367,323.923284016923
"BD2",127,0.123713997999573,319.727328491518
"BD2",128,0.123590875361515,314.888245954547
"BD2",129,0.123456445007832,309.439618630219
"BD2",130,0.123311416463764,303.431817966286
"BD2",131,0.12315651745422,296.902946646881
"BD2",132,0.122992469817064,294.827808884262
"BD2",133,0.122819973038986,294.67497081941
"BD2",134,0.122639694189616,293.844953661373
"BD2",135,0.122452262666229,292.344730166223
"BD2",136,0.122258268216228,290.186240386895
"BD2",137,0.122058260982499,287.388654796742
"BD2",138,0.121852752671259,283.973667096157
"BD2",139,0.121642218267254,279.969981283422
"BD2",140,0.121427097958531,275.400572769124
"BD2",141,0.121207799116007,270.319542581291
"BD2",142,0.12098469825645,264.796130667229
"BD2",143,0.120758142966054,258.793405731466
"BD2",144,0.120528453782526,259.312929727163
"BD2",145,0.120295926024824,259.985298305974
"BD2",146,0.114303788575853,260.147638499159
"BD2",147,0.0995487868685814,259.796822182515
"BD2",148,0.0866951169564345,258.934251168148
"BD2",149,0.0754984775867342,257.566024357236
"MBD",0,5.25959044172405,8.01684820450691
"MBD",1,4.99545025398103,8.02935358883132
"MBD",2,4.74415457278704,8.04483530743698
"MBD",3,4.5029690417416,8.06283939012389
"MBD",4,4.27435646801445,8.08285781846553
"MBD",5,4.05682357837194,8.10442638463701
"MBD",6,3.84898216368404,8.12715272857702
"MBD",7,3.65266470331392,8.1507169640742
"MBD",8,3.46477790395901,8.2233748696184
"MBD",9,3.28685709435771,8.31520382468972
